Calendar Date,SP 500 Level
20060921,1318.03
20060922,1314.78
20060925,1326.37
20060926,1336.34
20060927,1336.59
20060928,1339.15
20060929,1335.85
20061002,1331.32
20061003,1334.11
20061004,1350.22
20061005,1353.22
20061006,1349.58
20061009,1350.66
20061010,1353.42
20061011,1349.95
20061012,1362.83
20061013,1365.62
20061016,1369.05
20061017,1364.05
20061018,1365.96
20061019,1366.96
20061020,1368.6
20061023,1377.02
20061024,1377.38
20061025,1382.22
20061026,1389.08
20061027,1377.34
20061030,1377.93
20061031,1377.94
20061101,1367.81
20061102,1367.34
20061103,1364.3
20061106,1379.78
20061107,1382.84
20061108,1385.72
20061109,1378.33
20061110,1380.9
20061113,1384.42
20061114,1393.22
20061115,1396.57
20061116,1399.76
20061117,1401.2
20061120,1400.5
20061121,1402.81
20061122,1406.09
20061124,1400.95
20061127,1381.9
20061128,1386.72
20061129,1399.48
20061130,1400.63
20061201,1396.71
20061204,1409.12
20061205,1414.76
20061206,1412.9
20061207,1407.29
20061208,1409.84
20061211,1413.04
20061212,1411.56
20061213,1413.21
20061214,1425.49
20061215,1427.09
20061218,1422.48
20061219,1425.55
20061220,1423.53
20061221,1418.3
20061222,1410.76
20061226,1416.9
20061227,1426.84
20061228,1424.73
20061229,1418.3
20070103,1416.6
20070104,1418.34
20070105,1409.71
20070108,1412.84
20070109,1412.11
20070110,1414.85
20070111,1423.82
20070112,1430.73
20070116,1431.9
20070117,1430.62
20070118,1426.37
20070119,1430.5
20070122,1422.95
20070123,1427.99
20070124,1440.13
20070125,1423.9
20070126,1422.18
20070129,1420.62
20070130,1428.82
20070131,1438.24
20070201,1445.94
20070202,1448.39
20070205,1446.99
20070206,1448
20070207,1450.02
20070208,1448.31
20070209,1438.06
20070212,1433.37
20070213,1444.26
20070214,1455.3
20070215,1456.81
20070216,1455.54
20070220,1459.68
20070221,1457.63
20070222,1456.38
20070223,1451.19
20070226,1449.37
20070227,1399.04
20070228,1406.82
20070301,1403.17
20070302,1387.17
20070305,1374.12
20070306,1395.41
20070307,1391.97
20070308,1401.89
20070309,1402.85
20070312,1406.6
20070313,1377.95
20070314,1387.17
20070315,1392.28
20070316,1386.95
20070319,1402.06
20070320,1410.94
20070321,1435.04
20070322,1434.54
20070323,1436.11
20070326,1437.5
20070327,1428.61
20070328,1417.23
20070329,1422.53
20070330,1420.86
20070402,1424.55
20070403,1437.77
20070404,1439.37
20070405,1443.76
20070409,1444.61
20070410,1448.39
20070411,1438.87
20070412,1447.8
20070413,1452.85
20070416,1468.47
20070417,1471.48
20070418,1472.5
20070419,1470.73
20070420,1484.35
20070423,1480.93
20070424,1480.41
20070425,1495.42
20070426,1494.25
20070427,1494.07
20070430,1482.37
20070501,1486.3
20070502,1495.92
20070503,1502.39
20070504,1505.62
20070507,1509.48
20070508,1507.72
20070509,1512.58
20070510,1491.47
20070511,1505.85
20070514,1503.15
20070515,1501.19
20070516,1514.14
20070517,1512.75
20070518,1522.75
20070521,1525.1
20070522,1524.12
20070523,1522.28
20070524,1507.51
20070525,1515.73
20070529,1518.11
20070530,1530.23
20070531,1530.62
20070601,1536.34
20070604,1539.18
20070605,1530.95
20070606,1517.38
20070607,1490.72
20070608,1507.67
20070611,1509.12
20070612,1493
20070613,1515.67
20070614,1522.97
20070615,1532.91
20070618,1531.05
20070619,1533.7
20070620,1512.84
20070621,1522.19
20070622,1502.56
20070625,1497.74
20070626,1492.89
20070627,1506.34
20070628,1505.71
20070629,1503.35
20070702,1519.43
20070703,1524.87
20070705,1525.4
20070706,1530.44
20070709,1531.85
20070710,1510.12
20070711,1518.76
20070712,1547.7
20070713,1552.5
20070716,1549.52
20070717,1549.37
20070718,1546.17
20070719,1553.08
20070720,1534.1
20070723,1541.57
20070724,1511.04
20070725,1518.09
20070726,1482.66
20070727,1458.95
20070730,1473.91
20070731,1455.27
20070801,1465.81
20070802,1472.2
20070803,1433.06
20070806,1467.67
20070807,1476.71
20070808,1497.49
20070809,1453.09
20070810,1453.64
20070813,1452.92
20070814,1426.54
20070815,1406.7
20070816,1411.27
20070817,1445.94
20070820,1445.55
20070821,1447.12
20070822,1464.07
20070823,1462.5
20070824,1479.37
20070827,1466.79
20070828,1432.36
20070829,1463.76
20070830,1457.64
20070831,1473.99
20070904,1489.42
20070905,1472.29
20070906,1478.55
20070907,1453.55
20070910,1451.7
20070911,1471.49
20070912,1471.56
20070913,1483.95
20070914,1484.25
20070917,1476.65
20070918,1519.78
20070919,1529.03
20070920,1518.75
20070921,1525.75
20070924,1517.73
20070925,1517.21
20070926,1525.42
20070927,1531.38
20070928,1526.75
20071001,1547.04
20071002,1546.63
20071003,1539.59
20071004,1542.84
20071005,1557.59
20071008,1552.58
20071009,1565.15
20071010,1562.47
20071011,1554.41
20071012,1561.8
20071015,1548.71
20071016,1538.53
20071017,1541.24
20071018,1540.08
20071019,1500.63
20071022,1506.33
20071023,1519.59
20071024,1515.88
20071025,1514.4
20071026,1535.28
20071029,1540.98
20071030,1531.02
20071031,1549.38
20071101,1508.44
20071102,1509.65
20071105,1502.17
20071106,1520.27
20071107,1475.62
20071108,1474.77
20071109,1453.7
20071112,1439.18
20071113,1481.05
20071114,1470.58
20071115,1451.15
20071116,1458.74
20071119,1433.27
20071120,1439.7
20071121,1416.77
20071123,1440.7
20071126,1407.22
20071127,1428.23
20071128,1469.02
20071129,1469.72
20071130,1481.14
20071203,1472.42
20071204,1462.79
20071205,1485.01
20071206,1507.34
20071207,1504.66
20071210,1515.96
20071211,1477.65
20071212,1486.59
20071213,1488.41
20071214,1467.95
20071217,1445.9
20071218,1454.98
20071219,1453
20071220,1460.12
20071221,1484.46
20071224,1496.45
20071226,1497.66
20071227,1476.37
20071228,1478.49
20071231,1468.36
20080102,1447.16
20080103,1447.16
20080104,1411.63
20080107,1416.18
20080108,1390.19
20080109,1409.13
20080110,1420.33
20080111,1401.02
20080114,1416.25
20080115,1380.95
20080116,1373.2
20080117,1333.25
20080118,1325.19
20080122,1310.5
20080123,1338.6
20080124,1352.07
20080125,1330.61
20080128,1353.97
20080129,1362.3
20080130,1355.81
20080131,1378.55
20080201,1395.42
20080204,1380.82
20080205,1336.64
20080206,1326.45
20080207,1336.91
20080208,1331.29
20080211,1339.13
20080212,1348.86
20080213,1367.21
20080214,1348.86
20080215,1349.99
20080219,1348.78
20080220,1360.03
20080221,1342.53
20080222,1353.11
20080225,1371.8
20080226,1381.29
20080227,1380.02
20080228,1367.68
20080229,1330.63
20080303,1331.34
20080304,1326.75
20080305,1333.7
20080306,1304.34
20080307,1293.37
20080310,1273.37
